fingerprint,gateway,oui,payload,rssi,sequence,snr,spreading,timestamp,date/time (pacific),payload (decoded),Sequence number,Lat,Long,Name,date/time,SNR
1501860625,genuine alabaster badger,1,MDAxNTcsMzcuODA1MDgsLTEyMi40NDgwMwA=,-117,156,-7.5,SF10,1577224529,55:29.3,"00157,37.80508,-122.44803",157,37.80508,-122.44803,2,55:29.3,-1
3012939240,genuine alabaster badger,1,MDAxNTgsMzcuODA1MDgsLTEyMi40NDgwMwA=,-117,157,-14.5,SF10,1577224539,55:38.8,"00158,37.80508,-122.44803",158,37.80508,-122.44803,1,55:38.8,-11.25
848087716,genuine alabaster badger,1,MDAxNTksMzcuODA1MDksLTEyMi40NDgxMwA=,-116,158,-4.25,SF10,1577224549,55:49.2,#ERROR!,159,37.80509,-122.44813,1,55:49.2,-0.75
2841842920,zealous cream swallow,1,MDAxNjAsMzcuODA1MDIsLTEyMi40NDg1NAA=,-120,159,2.75,SF10,1577224559,55:58.7,#ERROR!,160,37.80502,-122.44854,0,55:58.7,2.75
,,,,,,,,,,,161,37.80488,-122.44947,,,
,,,,,,,,,,,162,37.80476,-122.45034,,,
,,,,,,,,,,,163,37.80471,-122.45092,,,
,,,,,,,,,,,164,37.80496,-122.45098,,,
2663704242,clean lava sheep,1,MDAxNjUsMzcuODA1MjksLTEyMi40NTEwNgA=,-117,164,-12.5,SF10,1577224610,56:49.6,"00165,37.80529,-122.45106",165,37.80529,-122.45106,0,56:49.6,-12.5
1032881957,mini orchid swallow,1,MDAxNjYsMzcuODA1NTAsLTEyMi40NTExMQA=,-117,165,-11.75,SF10,1577224619,56:59.1,#ERROR!,166,37.8055,-122.45111,0,56:59.1,-11.75
377920932,mini orchid swallow,1,MDAxNjcsMzcuODA1NzcsLTEyMi40NTExNQA=,-114,166,-8.75,SF10,1577224629,57:08.6,#ERROR!,167,37.80577,-122.45115,1,57:10.4,-13
,,,,,,,,,,,168,37.80592,-122.45133,,,
,,,,,,,,,,,169,37.80589,-122.45184,,,
,,,,,,,,,,,170,37.8057,-122.45194,,,
956853172,skinny cider scallop,1,MDAxNzEsMzcuODA1NDUsLTEyMi40NTE3OQA=,-112,170,-9.5,SF10,1577224669,57:49.2,"00171,37.80545,-122.45179",171,37.80545,-122.45179,1,57:49.2,-13.25
95618662,mini orchid swallow,1,MDAxNzIsMzcuODA1NTIsLTEyMi40NTEyOQA=,-118,171,-4.25,SF10,1577224679,57:58.8,#ERROR!,172,37.80552,-122.45129,1,57:58.8,-12
2798981771,chilly rainbow bear,1,MDAxNzMsMzcuODA1NDEsLTEyMi40NTExMwA=,-120,172,-4.75,SF10,1577224690,58:10.0,"00173,37.80541,-122.45113",173,37.80541,-122.45113,0,58:10.0,-4.75
,,,,,,,,,,,174,37.80495,-122.451,,,
,,,,,,,,,,,175,37.80468,-122.4509,,,
,,,,,,,,,,,176,37.80469,-122.45034,,,
,,,,,,,,,,,177,37.8048,-122.44954,,,
2984078101,genuine alabaster badger,1,MDAxNzgsMzcuODA0OTIsLTEyMi40NDg3MwA=,-116,177,-12.25,SF10,1577224740,59:00.1,"00178,37.80492,-122.44873",178,37.80492,-122.44873,0,59:00.1,-12.25
,,,,,,,,,,,179,37.80472,-122.44845,,,
,,,,,,,,,,,180,37.80431,-122.44933,,,
,,,,,,,,,,,181,37.8039,-122.45055,,,
2296974082,zealous cream swallow,1,MDAxODIsMzcuODAzNTcsLTEyMi40NTEyMAA=,-118,181,-9.25,SF10,1577224780,59:39.8,"00182,37.80357,-122.45120",182,37.80357,-122.4512,0,59:39.8,-9.25
,,,,,,,,,,,183,37.80342,-122.45145,,,
,,,,,,,,,,,184,37.80299,-122.4521,,,
,,,,,,,,,,,185,37.80291,-122.45217,,,
,,,,,,,,,,,186,37.80264,-122.45249,,,
,,,,,,,,,,,187,37.80216,-122.45288,,,
,,,,,,,,,,,188,37.80187,-122.45307,,,
,,,,,,,,,,,189,37.80126,-122.45347,,,
,,,,,,,,,,,190,37.80079,-122.4538,,,
,,,,,,,,,,,191,37.80077,-122.45419,,,
,,,,,,,,,,,192,37.80109,-122.45502,,,
,,,,,,,,,,,193,37.80144,-122.45583,,,
,,,,,,,,,,,194,37.80161,-122.45623,,,
,,,,,,,,,,,195,37.80173,-122.45658,,,
,,,,,,,,,,,196,37.80188,-122.45721,,,
2131331556,skinny cider scallop,1,MDAxOTcsMzcuODAxODIsLTEyMi40NTc4NwA=,-123,196,-11,SF10,1577224930,02:10.2,"00197,37.80182,-122.45787",197,37.80182,-122.45787,0,02:10.2,-11
,,,,,,,,,,,198,37.80125,-122.45829,,,
1979100662,zealous cream swallow,1,MDAxOTksMzcuODAwNjEsLTEyMi40NTg3OAA=,-112,198,-4,SF10,1577224950,02:30.0,"00199,37.80061,-122.45878",199,37.80061,-122.45878,0,02:30.0,-4
2073141093,digital berry duck,1,MDAyMDAsMzcuODAwMDAsLTEyMi40NTkyNQA=,-117,199,-13.5,SF10,1577224959,02:38.7,"00200,37.80000,-122.45925",200,37.8,-122.45925,0,02:38.7,-13.5
1936404522,zealous cream swallow,1,MDAyMDEsMzcuNzk5NjEsLTEyMi40NTk1NgA=,-121,200,-11.25,SF10,1577224969,02:49.1,#ERROR!,201,37.79961,-122.45956,0,02:49.1,-11.25
,,,,,,,,,,,202,37.79972,-122.45997,,,
,,,,,,,,,,,203,37.80013,-122.46052,,,
2751390007,zealous cream swallow,1,MDAyMDQsMzcuODAwNzIsLTEyMi40NjEwMgA=,-120,203,-5.75,SF10,1577224999,03:19.3,#ERROR!,204,37.80072,-122.46102,0,03:19.3,-5.75
,,,,,,,,,,,205,37.80131,-122.46157,,,
904913414,zealous cream swallow,1,MDAyMDYsMzcuODAxNDksLTEyMi40NjI2MQA=,-111,205,-4.75,SF10,1577225019,03:39.2,#ERROR!,206,37.80149,-122.46261,0,03:39.2,-4.75
,,,,,,,,,,,207,37.80172,-122.46372,,,
1031436815,skinny cider scallop,1,MDAyMDgsMzcuODAxNjksLTEyMi40NjQ3MgA=,-118,207,-8.5,SF10,1577225039,03:59.0,#ERROR!,208,37.80169,-122.46472,0,03:59.0,-8.5
,,,,,,,,,,,209,37.80098,-122.46516,,,
,,,,,,,,,,,210,37.80047,-122.46596,,,
,,,,,,,,,,,211,37.79998,-122.46647,,,
,,,,,,,,,,,212,37.79967,-122.4671,,,
,,,,,,,,,,,213,37.79976,-122.46771,,,
,,,,,,,,,,,214,37.80035,-122.46806,,,
,,,,,,,,,,,215,37.80079,-122.46888,,,
,,,,,,,,,,,216,37.80111,-122.46916,,,
,,,,,,,,,,,217,37.80197,-122.46906,,,
,,,,,,,,,,,218,37.80293,-122.46896,,,
,,,,,,,,,,,219,37.80387,-122.4693,,,
449759304,digital berry duck,1,MDAyMjAsMzcuODA0NTYsLTEyMi40Njk5NgA=,-120,219,-9,SF10,1577225160,06:00.0,"00220,37.80456,-122.46996",220,37.80456,-122.46996,0,12/24/2019 14:06,-9
1490205264,zealous cream swallow,1,MDAyMjEsMzcuODA1MzgsLTEyMi40Njk4OQA=,-110,220,6,SF10,1577225169,06:08.6,"00221,37.80538,-122.46989",221,37.80538,-122.46989,2,06:10.4,0
2709866373,skinny cider scallop,1,MDAyMjIsMzcuODA2MDUsLTEyMi40NzA0MwA=,-116,221,2.75,SF10,1577225179,06:19.0,"00222,37.80605,-122.47043",222,37.80605,-122.47043,1,06:19.0,7.75
,,,,,,,,,,,223,37.8064,-122.47143,,,
2067426426,skinny cider scallop,1,MDAyMjQsMzcuODA2ODUsLTEyMi40NzIyMQA=,-126,223,-8.25,SF10,1577225199,06:38.9,"00224,37.80685,-122.47221",224,37.80685,-122.47221,0,06:38.9,-8.25
,,,,,,,,,,,225,37.80685,-122.473,,,
1268827069,skinny cider scallop,1,MDAyMjYsMzcuODA2NzYsLTEyMi40NzM0MAA=,-121,225,-9.25,SF10,1577225219,06:58.8,#ERROR!,226,37.80676,-122.4734,1,06:58.8,-5.25
2312019640,zealous cream swallow,1,MDAyMjcsMzcuODA2NTksLTEyMi40NzQwMQA=,-104,226,-3.5,SF10,1577225229,07:09.1,"00227,37.80659,-122.47401",227,37.80659,-122.47401,0,07:09.1,-3.5
,,,,,,,,,,,228,37.80613,-122.47474,,,
,,,,,,,,,,,229,37.80558,-122.4754,,,
,,,,,,,,,,,230,37.80482,-122.47564,,,
,,,,,,,,,,,231,37.8045,-122.47568,,,
,,,,,,,,,,,232,37.80395,-122.47572,,,
960801764,zealous cream swallow,1,MDAyMzMsMzcuODAzMzIsLTEyMi40NzYwNAA=,-121,232,3,SF10,1577225289,08:08.7,"00233,37.80332,-122.47604",233,37.80332,-122.47604,0,08:08.7,3
,,,,,,,,,,,234,37.80262,-122.47648,,,
,,,,,,,,,,,235,37.80188,-122.4772,,,
,,,,,,,,,,,236,37.80109,-122.47763,,,
,,,,,,,,,,,237,37.80049,-122.47808,,,
,,,,,,,,,,,238,37.80009,-122.4783,,,
,,,,,,,,,,,239,37.79927,-122.47848,,,
,,,,,,,,,,,240,37.79885,-122.4787,,,
,,,,,,,,,,,241,37.79835,-122.47893,,,
,,,,,,,,,,,242,37.79763,-122.4787,,,
,,,,,,,,,,,243,37.797,-122.47908,,,
,,,,,,,,,,,244,37.79628,-122.47961,,,
,,,,,,,,,,,245,37.79555,-122.4801,,,
,,,,,,,,,,,246,37.79473,-122.4805,,,
,,,,,,,,,,,247,37.79369,-122.48059,,,
,,,,,,,,,,,248,37.79283,-122.48095,,,
,,,,,,,,,,,249,37.79239,-122.48101,,,
,,,,,,,,,,,250,37.79168,-122.48125,,,
,,,,,,,,,,,251,37.79066,-122.4816,,,
,,,,,,,,,,,252,37.78955,-122.48199,,,
,,,,,,,,,,,253,37.78887,-122.48225,,,
,,,,,,,,,,,254,37.78839,-122.48267,,,
,,,,,,,,,,,255,37.78787,-122.48356,,,
,,,,,,,,,,,256,37.7877,-122.4846,,,
,,,,,,,,,,,257,37.78768,-122.48521,,,
,,,,,,,,,,,258,37.78764,-122.48592,,,
,,,,,,,,,,,259,37.78761,-122.4864,,,
,,,,,,,,,,,260,37.78757,-122.48718,,,
,,,,,,,,,,,261,37.78756,-122.48754,,,
,,,,,,,,,,,262,37.78763,-122.48832,,,
,,,,,,,,,,,263,37.78766,-122.48922,,,
,,,,,,,,,,,264,37.7875,-122.48966,,,
,,,,,,,,,,,265,37.78694,-122.48983,,,
,,,,,,,,,,,266,37.78649,-122.49028,,,
,,,,,,,,,,,267,37.78632,-122.49062,,,
,,,,,,,,,,,268,37.78617,-122.49139,,,
,,,,,,,,,,,269,37.78646,-122.4922,,,
3757657264,mythical garnet eagle,1,MDAyNzAsMzcuNzg2NzEsLTEyMi40OTI4MwA=,-119,269,-11.25,SF10,1577225660,14:20.3,#ERROR!,270,37.78671,-122.49283,3,14:20.3,-11.25
,,,,,,,,,,,271,37.78663,-122.49315,,,
,,,,,,,,,,,272,37.7865,-122.49372,,,
,,,,,,,,,,,273,37.78611,-122.49432,,,
,,,,,,,,,,,274,37.78583,-122.4951,,,
,,,,,,,,,,,275,37.78581,-122.49606,,,
,,,,,,,,,,,276,37.78599,-122.497,,,
,,,,,,,,,,,277,37.78623,-122.49776,,,
,,,,,,,,,,,278,37.78632,-122.49805,,,
,,,,,,,,,,,279,37.78642,-122.49866,,,
,,,,,,,,,,,280,37.78637,-122.49934,,,
,,,,,,,,,,,281,37.78603,-122.49993,,,
,,,,,,,,,,,282,37.78566,-122.50031,,,
,,,,,,,,,,,283,37.78524,-122.49992,,,
,,,,,,,,,,,284,37.78476,-122.49953,,,
,,,,,,,,,,,285,37.78424,-122.49918,,,
,,,,,,,,,,,286,37.78379,-122.49865,,,
,,,,,,,,,,,287,37.78338,-122.498,,,
,,,,,,,,,,,288,37.78314,-122.49725,,,
,,,,,,,,,,,289,37.78292,-122.49638,,,
,,,,,,,,,,,290,37.78257,-122.49551,,,
,,,,,,,,,,,291,37.78212,-122.4948,,,
1157589821,proper felt wolf,1,MDAyOTIsMzcuNzgxNjksLTEyMi40OTQ1NwA=,-118,291,-13.75,SF10,1577225879,17:58.8,#ERROR!,292,37.78169,-122.49457,0,17:58.8,-13.75
3481131550,proper felt wolf,1,MDAyOTMsMzcuNzgxNjAsLTEyMi40OTQ2NwA=,-118,292,-8.5,SF10,1577225889,18:09.2,#ERROR!,293,37.7816,-122.49467,0,18:09.2,-8.5
3808697435,proper felt wolf,1,MDAyOTQsMzcuNzgxNTgsLTEyMi40OTU0NQA=,-120,293,-10.25,SF10,1577225899,18:18.7,#ERROR!,294,37.78158,-122.49545,0,18:18.7,-10.25
943780497,proper felt wolf,1,MDAyOTUsMzcuNzgxNTQsLTEyMi40OTY0MQA=,-118,294,-7,SF10,1577225909,18:29.1,"00295,37.78154,-122.49641",295,37.78154,-122.49641,0,18:29.1,-7
3131173699,proper felt wolf,1,MDAyOTYsMzcuNzgxNDksLTEyMi40OTc0MQA=,-118,295,-10.25,SF10,1577225919,18:38.6,"00296,37.78149,-122.49741",296,37.78149,-122.49741,0,18:38.6,-10.25
,,,,,,,,,,,297,37.78146,-122.49812,,,
,,,,,,,,,,,1,37.7711,-122.51125,,,
,,,,,,,,,,,2,37.7711,-122.51125,,,
,,,,,,,,,,,3,37.7711,-122.51126,,,
,,,,,,,,,,,4,37.7711,-122.51125,,,
,,,,,,,,,,,5,37.7711,-122.51125,,,
,,,,,,,,,,,6,37.77098,-122.51118,,,
,,,,,,,,,,,7,37.77064,-122.51111,,,
,,,,,,,,,,,8,37.77058,-122.51111,,,
,,,,,,,,,,,9,37.77047,-122.51109,,,
,,,,,,,,,,,10,37.76973,-122.51098,,,
,,,,,,,,,,,11,37.76876,-122.5108,,,
,,,,,,,,,,,12,37.76761,-122.51055,,,
,,,,,,,,,,,13,37.76639,-122.51041,,,
,,,,,,,,,,,14,37.76522,-122.51049,,,
,,,,,,,,,,,15,37.76433,-122.51054,,,
,,,,,,,,,,,16,37.76419,-122.51053,,,
,,,,,,,,,,,17,37.76419,-122.51051,,,
,,,,,,,,,,,18,37.76419,-122.51051,,,
,,,,,,,,,,,19,37.76395,-122.51049,,,
,,,,,,,,,,,20,37.76304,-122.51036,,,
,,,,,,,,,,,21,37.76201,-122.51024,,,
,,,,,,,,,,,22,37.76098,-122.51011,,,
,,,,,,,,,,,23,37.75983,-122.50996,,,
,,,,,,,,,,,24,37.75873,-122.5098,,,
,,,,,,,,,,,25,37.75772,-122.50968,,,
,,,,,,,,,,,26,37.75668,-122.50954,,,
,,,,,,,,,,,27,37.75555,-122.5094,,,
,,,,,,,,,,,28,37.7546,-122.50928,,,
,,,,,,,,,,,29,37.75369,-122.50915,,,
,,,,,,,,,,,30,37.7529,-122.50906,,,
,,,,,,,,,,,31,37.75288,-122.50906,,,
,,,,,,,,,,,32,37.75288,-122.50906,,,
,,,,,,,,,,,33,37.75267,-122.50903,,,
,,,,,,,,,,,34,37.75186,-122.50893,,,
3181835493,glamorous tortilla turtle,1,MDAwMzUsMzcuNzUwODUsLTEyMi41MDg4MAA=,-117,34,-10.5,SF10,1577226792,33:12.1,"00035,37.75085,-122.50880",35,37.75085,-122.5088,0,33:12.1,-10.5
2228793232,glamorous tortilla turtle,1,MDAwMzYsMzcuNzQ5NzcsLTEyMi41MDg2NwA=,-117,35,-8.75,SF10,1577226802,33:21.6,#ERROR!,36,37.74977,-122.50867,0,33:21.6,-8.75
,,,,,,,,,,,37,37.74854,-122.50851,,,
,,,,,,,,,,,38,37.74735,-122.50834,,,
,,,,,,,,,,,39,37.74616,-122.5082,,,
,,,,,,,,,,,40,37.7449,-122.50803,,,
,,,,,,,,,,,41,37.74364,-122.50787,,,
,,,,,,,,,,,42,37.74237,-122.5077,,,
,,,,,,,,,,,43,37.74103,-122.50754,,,
,,,,,,,,,,,44,37.73975,-122.50737,,,
,,,,,,,,,,,45,37.73856,-122.5072,,,
,,,,,,,,,,,46,37.73745,-122.50705,,,
,,,,,,,,,,,47,37.73641,-122.50694,,,
,,,,,,,,,,,48,37.73543,-122.50688,,,
,,,,,,,,,,,49,37.73434,-122.50697,,,
